solver_id,model,solve_number,solve_time_s,predicted,residual
2011EDUA01,power_law,1.0,193.21,237.1839689390576,-43.973968939057585
2011EDUA01,power_law,2.0,105.19,139.04001020530123,-33.85001020530123
2011EDUA01,power_law,3.0,345.22,102.9617316550917,242.25826834490834
2011EDUA01,power_law,4.0,93.5,83.8026166574438,9.697383342556193
2011EDUA01,power_law,5.0,101.61,71.78958699459389,29.82041300540611
2011EDUA01,power_law,6.0,25.44,63.49703599288779,-38.05703599288779
2011EDUA01,power_law,7.0,24.93,57.400417508354224,-32.470417508354224
2011EDUA01,power_law,8.0,28.59,52.71390080242054,-24.12390080242054
2011EDUA01,power_law,9.0,31.15,48.98958895926288,-17.839588959262883
2011EDUA01,power_law,10.0,36.96,45.95272613868963,-8.992726138689626
2011EDUA01,power_law,11.0,25.43,43.4250195704195,-17.9950195704195
2011EDUA01,power_law,12.0,16.44,41.285511680390314,-24.845511680390313
2011EDUA01,power_law,13.0,28.63,39.44912698871562,-10.81912698871562
2011EDUA01,power_law,14.0,31.03,37.85421220066498,-6.824212200664981
2011EDUA01,power_law,15.0,25.66,36.454948844510554,-10.794948844510554
2011EDUA01,power_law,16.0,22.93,35.21654635760959,-12.286546357609588
2011EDUA01,power_law,17.0,23.58,34.11209245956278,-10.532092459562783
2011EDUA01,power_law,18.0,27.85,33.120428760259315,-5.270428760259314
2011EDUA01,power_law,19.0,27.36,32.22468129186259,-4.864681291862588
2011EDUA01,power_law,20.0,20.84,31.41122129670135,-10.57122129670135
2011EDUA01,power_law,21.0,27.77,30.668915736280084,-2.8989157362800846
2011EDUA01,power_law,22.0,23.78,29.988577210540008,-6.208577210540007
2011EDUA01,power_law,23.0,18.8,29.362553842097313,-10.562553842097312
2011EDUA01,power_law,24.0,28.83,28.784419146762616,0.04558085323738226
2011EDUA01,power_law,25.0,19.18,28.24873447773274,-9.06873447773274
2011EDUA01,power_law,26.0,27.52,27.750864914510046,-0.23086491451004676
2011EDUA01,power_law,27.0,22.06,27.28683503320469,-5.22683503320469
2011EDUA01,power_law,28.0,22.72,26.85321479972464,-4.133214799724641
2011EDUA01,power_law,29.0,23.88,26.447028470142733,-2.567028470142734
2011EDUA01,power_law,30.0,16.46,26.065681245156355,-9.605681245156354
2011EDUA01,power_law,31.0,22.89,25.706899756121736,-2.8168997561217353
2011EDUA01,power_law,32.0,23.59,25.368683422547985,-1.778683422547985
2011EDUA01,power_law,33.0,18.21,25.04926442513844,-6.839264425138438
2011EDUA01,power_law,34.0,17.34,24.74707455931295,-7.4070745593129494
2011EDUA01,power_law,35.0,22.47,24.460717623261516,-1.9907176232615171
2011EDUA01,power_law,36.0,17.67,24.18894628802375,-6.5189462880237485
2011EDUA01,power_law,37.0,21.81,23.93064262033858,-2.1206426203385824
2011EDUA01,power_law,38.0,21.05,23.684801600264088,-2.634801600264087
2011EDUA01,power_law,39.0,19.66,23.450517107963126,-3.790517107963126
2011EDUA01,power_law,40.0,18.68,23.226969957156495,-4.546969957156495
2011EDUA01,power_law,41.0,20.76,23.013417633599943,-2.253417633599941
2011EDUA01,power_law,42.0,20.01,22.80918546076192,-2.799185460761919
2011EDUA01,power_law,43.0,15.0,22.613658965568426,-7.613658965568426
2011EDUA01,power_law,44.0,23.41,22.426277257578263,0.9837227424217367
2011EDUA01,power_law,45.0,18.58,22.246527267487767,-3.666527267487769
2011EDUA01,power_law,46.0,21.12,22.073938717142653,-0.9539387171426519
2011EDUA01,power_law,47.0,21.26,21.908079714567307,-0.6480797145673058
2011EDUA01,power_law,48.0,18.3,21.74855288492342,-3.4485528849234193
2011EDUA01,power_law,49.0,16.65,21.59499196256997,-4.944991962569972
2011EDUA01,power_law,50.0,17.38,21.44705878113423,-4.067058781134232
2011EDUA01,power_law,51.0,16.5,21.30444060820556,-4.80444060820556
2011EDUA01,power_law,52.0,19.53,21.166847779315603,-1.6368477793156018
2011EDUA01,power_law,53.0,15.5,21.034011592576775,-5.534011592576775
2011EDUA01,power_law,54.0,16.8,20.90568243096071,-4.105682430960709
2011EDUA01,power_law,55.0,18.23,20.781628083905915,-2.5516280839059142
2011EDUA01,power_law,56.0,29.72,20.66163224390816,9.05836775609184
2011EDUA01,power_law,57.0,20.09,20.545493157096548,-0.4554931570965479
2011EDUA01,power_law,58.0,17.44,20.433022409636635,-2.993022409636634
2011EDUA01,power_law,59.0,16.92,20.324043834215345,-3.4040438342153436
2011EDUA01,power_law,60.0,19.29,20.21839252291992,-0.9283925229199212
2011EDUA01,power_law,61.0,30.13,20.115913934582483,10.014086065417516
2011EDUA01,power_law,62.0,16.49,20.016463086170234,-3.526463086170235
2011EDUA01,power_law,63.0,15.99,19.919903819098042,-3.929903819098042
2011EDUA01,power_law,64.0,16.21,19.826108132457726,-3.6161081324577253
2011EDUA01,power_law,65.0,17.22,19.734955576124005,-2.514955576124006
2011EDUA01,power_law,66.0,18.16,19.646332697533225,-1.486332697533225
2011EDUA01,power_law,67.0,16.14,19.560132536656976,-3.4201325366569755
2011EDUA01,power_law,68.0,15.58,19.476254164324075,-3.896254164324075
2011EDUA01,power_law,69.0,16.34,19.394602259595214,-3.054602259595214
2011EDUA01,power_law,70.0,14.82,19.315086722375444,-4.495086722375444
2011EDUA01,power_law,71.0,16.39,19.237622317870933,-2.8476223178709326
