solver_id,model,solve_number,solve_time_s,predicted,residual
2007OEYM01,power_law,1.0,60.09,102.99320896818003,-42.903208968180024
2007OEYM01,power_law,2.0,125.71,85.76479763503882,39.945202364961176
2007OEYM01,power_law,3.0,80.69,77.3097544517198,3.3802455482802003
2007OEYM01,power_law,4.0,66.67,71.93725510375813,-5.267255103758131
2007OEYM01,power_law,5.0,85.47,68.09489834147124,17.375101658528763
2007OEYM01,power_law,6.0,73.93,65.1512278282042,8.778772171795808
2007OEYM01,power_law,7.0,59.55,62.79183544641698,-3.241835446416985
2007OEYM01,power_law,8.0,52.63,60.839253740940926,-8.209253740940923
2007OEYM01,power_law,9.0,43.91,59.184289515696705,-15.274289515696708
2007OEYM01,power_law,10.0,56.83,57.755373833298336,-0.9253738332983374
2007OEYM01,power_law,11.0,51.13,56.5032699661305,-5.373269966130501
2007OEYM01,power_law,12.0,44.22,55.39278053126951,-11.17278053126951
2007OEYM01,power_law,13.0,46.6,54.39794823353333,-7.797948233533326
2007OEYM01,power_law,14.0,58.59,53.49912952211439,5.090870477885616
2007OEYM01,power_law,15.0,60.44,52.681131959155195,7.758868040844803
2007OEYM01,power_law,16.0,47.0,51.93198522446613,-4.931985224466132
2007OEYM01,power_law,17.0,51.4,51.24210501561195,0.15789498438805083
2007OEYM01,power_law,18.0,69.38,50.60370905495701,18.776290945042987
2007OEYM01,power_law,19.0,44.16,50.01039972295277,-5.850399722952773
2007OEYM01,power_law,20.0,48.41,49.45685970303972,-1.046859703039722
2007OEYM01,power_law,21.0,57.11,48.93862603978097,8.171373960219029
2007OEYM01,power_law,22.0,56.77,48.45191971512921,8.318080284870796
2007OEYM01,power_law,23.0,59.47,47.993515249582465,11.476484750417534
2007OEYM01,power_law,24.0,45.44,47.56063963165801,-2.1206396316580154
2007OEYM01,power_law,25.0,47.59,47.150893056168066,0.4391069438319377
2007OEYM01,power_law,26.0,90.72,46.76218609798965,43.95781390201035
2007OEYM01,power_law,27.0,59.55,46.39268942403263,13.157310575967365
2007OEYM01,power_law,28.0,47.72,46.04079317790371,1.6792068220962904
2007OEYM01,power_law,29.0,48.52,45.70507390388316,2.8149260961168423
2007OEYM01,power_law,30.0,50.59,45.384267403496175,5.205732596503829
2007OEYM01,power_law,31.0,45.83,45.077246301653815,0.7527536983461829
2007OEYM01,power_law,32.0,50.8,44.783001382167996,6.016998617832002
2007OEYM01,power_law,33.0,32.59,44.50062596320377,-11.910625963203763
2007OEYM01,power_law,34.0,43.56,44.22930274188363,-0.6693027418836266
2007OEYM01,power_law,35.0,50.46,43.96829265781789,6.49170734218211
2007OEYM01,power_law,36.0,44.88,43.71692541776128,1.1630745822387212
2007OEYM01,power_law,37.0,44.18,43.47459139504259,0.7054086049574124
2007OEYM01,power_law,38.0,45.21,43.240734673074755,1.969265326925246
2007OEYM01,power_law,39.0,36.0,43.01484704593307,-7.014847045933067
2007OEYM01,power_law,40.0,42.86,42.79646282350555,0.06353717649444945
2007OEYM01,power_law,41.0,42.66,42.58515431617273,0.07484568382726309
2007OEYM01,power_law,42.0,37.22,42.38052789594394,-5.160527895943943
2007OEYM01,power_law,43.0,39.53,42.18222054866244,-2.6522205486624415
2007OEYM01,power_law,44.0,39.86,41.98989684620695,-2.129896846206954
2007OEYM01,power_law,45.0,45.9,41.80324627926473,4.096753720735272
2007OEYM01,power_law,46.0,30.19,41.62198090077771,-11.431980900777706
2007OEYM01,power_law,47.0,39.96,41.44583323799001,-1.4858332379900077
2007OEYM01,power_law,48.0,39.67,41.27455443748618,-1.604554437486179
2007OEYM01,power_law,49.0,38.41,41.10791261296585,-2.697912612965851
2007OEYM01,power_law,50.0,43.59,40.94569136995918,2.6443086300408254
2007OEYM01,power_law,51.0,36.82,40.78768848541463,-3.9676884854146266
2007OEYM01,power_law,52.0,44.53,40.6337147232165,3.8962852767835017
2007OEYM01,power_law,53.0,45.19,40.48359276932299,4.706407230677009
2007OEYM01,power_law,54.0,37.36,40.33715627243939,-2.9771562724393874
2007OEYM01,power_law,55.0,54.3,40.194248978027424,14.105751021972573
2007OEYM01,power_law,56.0,36.09,40.054723945055514,-3.9647239450555105
2007OEYM01,power_law,57.0,29.46,39.918442836263345,-10.458442836263345
2007OEYM01,power_law,58.0,51.71,39.78527527388524,11.92472472611476
2007OEYM01,power_law,59.0,38.53,39.655098253781894,-1.1250982537818928
2007OEYM01,power_law,60.0,49.31,39.527795611794794,9.782204388205209
2007OEYM01,power_law,61.0,47.31,39.403257536884,7.906742463116004
2007OEYM01,power_law,62.0,40.47,39.28138012625555,1.1886198737444502
2007OEYM01,power_law,63.0,34.81,39.16206497824457,-4.35206497824457
2007OEYM01,power_law,64.0,37.41,39.045218819207065,-1.6352188192070685
2007OEYM01,power_law,65.0,38.05,38.93075316109718,-0.8807531610971822
2007OEYM01,power_law,66.0,41.44,38.818583986777384,2.621416013222614
2007OEYM01,power_law,67.0,34.18,38.708631460433104,-4.528631460433104
2007OEYM01,power_law,68.0,38.84,38.60081966074743,0.2391803392525702
2007OEYM01,power_law,69.0,69.22,38.49507633474176,30.72492366525824
2007OEYM01,power_law,70.0,34.66,38.391332670407856,-3.731332670407859
2007OEYM01,power_law,71.0,64.38,38.289523086451304,26.09047691354869
2007OEYM01,power_law,72.0,35.03,38.1895850376376,-3.159585037637598
2007OEYM01,power_law,73.0,39.53,38.09145883438424,1.43854116561576
2007OEYM01,power_law,74.0,35.94,37.995087475376984,-2.055087475376986
2007OEYM01,power_law,75.0,41.75,37.90041649210808,3.8495835078919214
2007OEYM01,power_law,76.0,54.65,37.807393804340954,16.842606195659044
2007OEYM01,power_law,77.0,43.61,37.71596958560094,5.894030414399062
2007OEYM01,power_law,78.0,39.61,37.626096137876296,1.9839038621237037
2007OEYM01,power_law,79.0,32.8,37.53772777478986,-4.73772777478986
2007OEYM01,power_law,80.0,46.13,37.450820712569474,8.679179287430529
2007OEYM01,power_law,81.0,38.05,37.36533296820639,0.6846670317936088
2007OEYM01,power_law,82.0,45.8,37.281224264245466,8.51877573575453
2007OEYM01,power_law,83.0,40.9,37.198455939700374,3.701544060299625
2007OEYM01,power_law,84.0,36.75,37.11699086663123,-0.3669908666312267
2007OEYM01,power_law,85.0,28.08,37.03679337196205,-8.95679337196205
2007OEYM01,power_law,86.0,40.75,36.9578291641517,3.792170835848303
2007OEYM01,power_law,87.0,118.21,36.88006526436433,81.32993473563566
2007OEYM01,power_law,88.0,39.87,36.803469941815216,3.0665300581847816
2007OEYM01,power_law,89.0,30.27,36.72801265299428,-6.458012652994281
2007OEYM01,power_law,90.0,34.18,36.65366398449421,-2.473663984494209
2007OEYM01,power_law,91.0,47.69,36.58039559919196,11.109604400808038
2007OEYM01,power_law,92.0,33.82,36.508180185552376,-2.688180185552376
2007OEYM01,power_law,93.0,32.33,36.43699140984128,-4.106991409841285
2007OEYM01,power_law,94.0,30.93,36.366803871051616,-5.436803871051616
2007OEYM01,power_law,95.0,33.56,36.29759305836158,-2.7375930583615755
2007OEYM01,power_law,96.0,43.06,36.22933531095766,6.830664689042344
2007OEYM01,power_law,97.0,36.08,36.162007780067825,-0.08200778006782627
2007OEYM01,power_law,98.0,30.65,36.095588393062066,-5.445588393062067
2007OEYM01,power_law,99.0,34.09,36.030055819487735,-1.940055819487732
2007OEYM01,power_law,100.0,31.9,35.965389438917235,-4.0653894389172365
2007OEYM01,power_law,101.0,34.05,35.901569310494075,-1.851569310494078
2007OEYM01,power_law,102.0,35.27,35.838576144071986,-0.568576144071983
2007OEYM01,power_law,103.0,36.5,35.77639127284888,0.7236087271511167
2007OEYM01,power_law,104.0,34.33,35.71499662740464,-1.3849966274046395
2007OEYM01,power_law,105.0,33.46,35.65437471105799,-2.194374711057989
2007OEYM01,power_law,106.0,34.91,35.594508576463554,-0.684508576463557
2007OEYM01,power_law,107.0,36.03,35.53538180337565,0.49461819662435147
2007OEYM01,power_law,108.0,30.4,35.47697847751039,-5.076978477510394
2007OEYM01,power_law,109.0,41.72,35.41928317044218,6.300716829557821
2007OEYM01,power_law,110.0,35.28,35.36228092047503,-0.08228092047502855
2007OEYM01,power_law,111.0,31.68,35.3059572144331,-3.6259572144331003
2007OEYM01,power_law,112.0,24.88,35.250297970318385,-10.370297970318386
2007OEYM01,power_law,113.0,39.75,35.19528952078689,4.554710479213107
2007OEYM01,power_law,114.0,28.69,35.14091859739797,-6.450918597397969
2007OEYM01,power_law,115.0,36.53,35.08717231559403,1.4428276844059695
2007OEYM01,power_law,116.0,32.0,35.03403816037079,-3.034038160370791
2007OEYM01,power_law,117.0,23.08,34.98150397260075,-11.90150397260075
2007OEYM01,power_law,118.0,36.5,34.92955793597472,1.5704420640252792
2007OEYM01,power_law,119.0,37.94,34.87818856452852,3.0618114354714763
2007OEYM01,power_law,120.0,38.52,34.82738469072402,3.692615309275986
2007OEYM01,power_law,121.0,30.49,34.777135454055326,-4.287135454055328
2007OEYM01,power_law,122.0,31.52,34.72743029015313,-3.2074302901531304
2007OEYM01,power_law,123.0,34.61,34.678258920361245,-0.06825892036124515
2007OEYM01,power_law,124.0,37.86,34.62961134176144,3.23038865823856
