solver_id,model,solve_number,solve_time_s,predicted,residual
2012ICKL01,power_law,1.0,23.58,31.615089978466422,-8.035089978466424
2012ICKL01,power_law,2.0,25.93,27.323172445875496,-1.3931724458754964
2012ICKL01,power_law,3.0,22.58,25.174046526491352,-2.594046526491354
2012ICKL01,power_law,4.0,22.53,23.79114686388642,-1.2611468638864203
2012ICKL01,power_law,5.0,22.78,22.792915341968605,-0.01291534196860411
2012ICKL01,power_law,6.0,39.83,22.0225276701252,17.8074723298748
2012ICKL01,power_law,7.0,27.69,21.401282598242204,6.288717401757797
2012ICKL01,power_law,8.0,22.27,20.884472954825004,1.385527045174996
2012ICKL01,power_law,9.0,24.52,20.444442628133338,4.075557371866662
2012ICKL01,power_law,10.0,15.93,20.06298017324465,-4.1329801732446505
2012ICKL01,power_law,11.0,16.93,19.727505142216778,-2.797505142216778
2012ICKL01,power_law,12.0,18.75,19.428991065966233,-0.6789910659662333
2012ICKL01,power_law,13.0,14.81,19.160758860806876,-4.3507588608068755
2012ICKL01,power_law,14.0,18.19,18.91773858501496,-0.7277385850149578
2012ICKL01,power_law,15.0,16.46,18.6959980761303,-2.2359980761303007
2012ICKL01,power_law,16.0,33.22,18.492431046436447,14.727568953563551
2012ICKL01,power_law,17.0,22.97,18.304544328263155,4.665455671736844
2012ICKL01,power_law,18.0,15.94,18.130308904311374,-2.190308904311374
2012ICKL01,power_law,19.0,14.7,17.96805319699996,-3.2680531969999613
2012ICKL01,power_law,20.0,15.44,17.81638508378031,-2.3763850837803115
2012ICKL01,power_law,21.0,20.36,17.674133886129724,2.6858661138702757
2012ICKL01,power_law,22.0,20.02,17.540306528516524,2.4796934714834755
2012ICKL01,power_law,23.0,14.66,17.41405393226502,-2.7540539322650197
2012ICKL01,power_law,24.0,16.21,17.294644922510717,-1.0846449225107158
2012ICKL01,power_law,25.0,16.71,17.181445731493362,-0.4714457314933611
2012ICKL01,power_law,26.0,22.21,17.073903726217445,5.136096273782556
2012ICKL01,power_law,27.0,18.71,16.971534363789285,1.7384656362107158
2012ICKL01,power_law,28.0,16.73,16.873910640488017,-0.14391064048801638
2012ICKL01,power_law,29.0,16.25,16.78065448734406,-0.5306544873440586
2012ICKL01,power_law,30.0,20.36,16.69142969951078,3.6685703004892183
2012ICKL01,power_law,31.0,14.88,16.60593608484748,-1.725936084847481
2012ICKL01,power_law,32.0,16.44,16.52390458956437,-0.0839045895643693
2012ICKL01,power_law,33.0,14.27,16.445093212824812,-2.1750932128248124
2012ICKL01,power_law,34.0,18.53,16.36928356293355,2.1607164370664513
2012ICKL01,power_law,35.0,14.63,16.296277938729855,-1.6662779387298539
2012ICKL01,power_law,36.0,19.92,16.22589684359113,3.6941031564088718
2012ICKL01,power_law,37.0,15.67,16.1579768578599,-0.4879768578599002
2012ICKL01,power_law,38.0,20.67,16.092368809863586,4.577631190136415
2012ICKL01,power_law,39.0,15.53,16.028936196974495,-0.49893619697449587
2012ICKL01,power_law,40.0,13.21,15.967553817078663,-2.757553817078662
2012ICKL01,power_law,41.0,20.91,15.908106577924904,5.001893422075096
2012ICKL01,power_law,42.0,15.25,15.850488457514974,-0.6004884575149738
2012ICKL01,power_law,43.0,16.47,15.794601593280145,0.6753984067198537
2012ICKL01,power_law,44.0,25.05,15.740355481503556,9.309644518496444
2012ICKL01,power_law,45.0,16.05,15.687666271472558,0.3623337285274424
2012ICKL01,power_law,46.0,12.65,15.6364561413213,-2.9864561413213
2012ICKL01,power_law,47.0,11.63,15.586652744559803,-3.9566527445598023
2012ICKL01,power_law,48.0,13.34,15.53818871796809,-2.1981887179680903
2012ICKL01,power_law,49.0,19.21,15.491001242929435,3.7189987570705654
2012ICKL01,power_law,50.0,15.63,15.445031653439777,0.18496834656022365
2012ICKL01,power_law,51.0,13.09,15.400225085002752,-2.3102250850027524
2012ICKL01,power_law,52.0,13.97,15.356530159436549,-1.386530159436548
2012ICKL01,power_law,53.0,12.25,15.313898701306822,-3.0638987013068224
2012ICKL01,power_law,54.0,13.66,15.272285482281745,-1.6122854822817452
2012ICKL01,power_law,55.0,17.34,15.23164799019896,2.10835200980104
2012ICKL01,power_law,56.0,11.97,15.191946220054366,-3.221946220054365
2012ICKL01,power_law,57.0,16.21,15.153142484481354,1.0568575155186473
2012ICKL01,power_law,58.0,17.28,15.115201241596331,2.16479875840367
2012ICKL01,power_law,59.0,14.4,15.07808893835011,-0.6780889383501094
2012ICKL01,power_law,60.0,16.86,15.04177386775198,1.8182261322480198
2012ICKL01,power_law,61.0,14.19,15.006226038529284,-0.816226038529285
2012ICKL01,power_law,62.0,23.96,14.971417055955271,8.98858294404473
2012ICKL01,power_law,63.0,15.08,14.937320012725117,0.1426799872748834
2012ICKL01,power_law,64.0,16.27,14.903909388888366,1.366090611111634
2012ICKL01,power_law,65.0,15.81,14.871160959957624,0.9388390400423763
2012ICKL01,power_law,66.0,13.44,14.839051712411099,-1.399051712411099
2012ICKL01,power_law,67.0,15.44,14.807559765891927,0.6324402341080724
2012ICKL01,power_law,68.0,12.94,14.776664301482459,-1.8366643014824593
2012ICKL01,power_law,69.0,16.4,14.746345495497465,1.6536545045025335
2012ICKL01,power_law,70.0,12.22,14.716584458298502,-2.4965844582985017
2012ICKL01,power_law,71.0,13.15,14.687363177682894,-1.5373631776828933
2012ICKL01,power_law,72.0,14.69,14.65866446644621,0.03133553355378993
2012ICKL01,power_law,73.0,15.68,14.630471913757393,1.0495280862426064
2012ICKL01,power_law,74.0,14.69,14.60276984002122,0.08723015997878036
2012ICKL01,power_law,75.0,13.3,14.575543254934669,-1.275543254934668
2012ICKL01,power_law,76.0,15.27,14.548777818471947,0.7212221815280522
2012ICKL01,power_law,77.0,14.4,14.522459804558121,-0.12245980455812067
2012ICKL01,power_law,78.0,12.31,14.496576067213825,-2.1865760672138244
2012ICKL01,power_law,79.0,14.13,14.471114008973691,-0.3411140089736904
2012ICKL01,power_law,80.0,13.13,14.446061551399126,-1.316061551399125
2012ICKL01,power_law,81.0,12.6,14.421407107522338,-1.8214071075223384
2012ICKL01,power_law,82.0,13.83,14.397139556072961,-0.5671395560729611
2012ICKL01,power_law,83.0,17.06,14.373248217351854,2.6867517826481446
2012ICKL01,power_law,84.0,13.69,14.349722830628298,-0.659722830628299
2012ICKL01,power_law,85.0,18.69,14.32655353294758,4.363446467052421
2012ICKL01,power_law,86.0,11.79,14.30373083924551,-2.513730839245511
2012ICKL01,power_law,87.0,16.7,14.281245623675085,2.418754376324914
2012ICKL01,power_law,88.0,12.61,14.259089102058473,-1.6490891020584737
2012ICKL01,power_law,89.0,16.22,14.237252815384524,1.9827471846154747
2012ICKL01,power_law,90.0,14.31,14.215728614278568,0.09427138572143257
2012ICKL01,power_law,91.0,14.13,14.19450864437712,-0.06450864437711878
2012ICKL01,power_law,92.0,15.81,14.17358533254546,1.63641466745454
2012ICKL01,power_law,93.0,12.68,14.152951373880931,-1.4729513738809317
2012ICKL01,power_law,94.0,15.43,14.132599719449264,1.297400280550736
2012ICKL01,power_law,95.0,12.71,14.112523564705256,-1.4025235647052554
2012ICKL01,power_law,96.0,14.58,14.092716338552894,0.48728366144710655
2012ICKL01,power_law,97.0,13.75,14.073171693003296,-0.32317169300329596
2012ICKL01,power_law,98.0,13.94,14.0538834933921,-0.11388349339210002
2012ICKL01,power_law,99.0,12.84,14.034845809120576,-1.1948458091205758
2012ICKL01,power_law,100.0,13.41,14.016052904887527,-0.6060529048875267
2012ICKL01,power_law,101.0,13.59,13.997499232381312,-0.407499232381312
2012ICKL01,power_law,102.0,13.53,13.979179422403536,-0.44917942240353703
2012ICKL01,power_law,103.0,11.08,13.961088277398046,-2.881088277398046
2012ICKL01,power_law,104.0,12.55,13.943220764360596,-1.3932207643605956
2012ICKL01,power_law,105.0,14.1,13.925572008106407,0.1744279918935927
2012ICKL01,power_law,106.0,14.55,13.908137284874265,0.6418627151257361
2012ICKL01,power_law,107.0,13.5,13.890912016247409,-0.3909120162474089
2012ICKL01,power_law,108.0,14.58,13.873891763372653,0.7061082366273475
2012ICKL01,power_law,109.0,14.05,13.857072221460559,0.19292777853944187
2012ICKL01,power_law,110.0,13.33,13.84044921455051,-0.5104492145505102
2012ICKL01,power_law,111.0,11.31,13.824018690525683,-2.514018690525683
