solver_id,split_method,n_phases,pref_first,pref_last,ll_pref_first,ll_pref_last,family_changed,ll_family_changed,shape_shift,scale_shift,norm_ks_stat,norm_ks_p,norm_ks_reject,shift_detected,exg_fit_ok_count,mean_first,mean_last,mean_delta,mean_rel_change,std_first,std_last,std_delta,std_rel_change,var_first,var_last,var_delta,var_rel_change,cv_first,cv_last,cv_delta,cv_rel_change,skewness_first,skewness_last,skewness_delta,skewness_rel_change,excess_kurtosis_first,excess_kurtosis_last,excess_kurtosis_delta,excess_kurtosis_rel_change,iqr_first,iqr_last,iqr_delta,iqr_rel_change,p90_p10_ratio_first,p90_p10_ratio_last,p90_p10_ratio_delta,p90_p10_ratio_rel_change,tail_weight_upper_first,tail_weight_upper_last,tail_weight_upper_delta,tail_weight_upper_rel_change
2017GARR05,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.025723347915070274,0.9486172336223039,False,True,5,8.806284987277353,6.132172808132148,-2.6741121791452054,-30.365950943088464,2.1159943987990264,1.2178729342974444,-0.898121464501582,-42.444415968743975,4.477432295748853,1.4832144840942671,-2.994217811654586,-66.87354746821028,0.24028229859197758,0.19860381832070498,-0.041678480271272605,-17.3456307499566,2.742751913146177,1.8325457726695773,-0.9102061404765998,-33.185872047483635,21.72754122339982,6.595943655725135,-15.131597567674687,-69.6424754743002,2.3225,1.2250000000000005,-1.0974999999999993,-47.255113024757776,1.7034023668639056,1.5580065359477122,-0.14539583091619335,-8.535612826690985,1.703982777179763,2.1069387755102014,0.40295599833043827,23.64789150025124
2013WALL03,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.06434774855827488,0.10456820785808524,False,True,5,10.93431623931624,8.179032716927454,-2.755283522388787,-25.198498580841154,2.5630223615793124,1.5971940951432786,-0.9658282664360338,-37.68317752174814,6.569083625955596,2.5510289775605566,-4.018054648395039,-61.166136362140435,0.2344017042751625,0.19527909355805617,-0.03912261071710632,-16.690412229759456,1.4236535122470713,2.750926335243125,1.3272728229960538,93.23004590499751,3.421589369241559,16.167037296819032,12.745447927577473,372.5008045136249,3.1875000000000018,1.6549999999999985,-1.5325000000000033,-48.0784313725491,1.7372289156626506,1.481592337623466,-0.2556365780391845,-14.715192438624255,1.5756862745098028,1.727492447129911,0.1518061726201081,9.634289203117866
2009LIUE01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.12384756470348482,3.514006964708436e-05,True,True,5,13.513885714285715,9.092325249643366,-4.421560464642349,-32.718646273353166,4.509139824974273,1.4794296728532546,-3.0297101521210186,-67.19042366663146,20.332341961169018,2.1887121569186876,-18.14362980425033,-89.23531700824864,0.3336671569012604,0.16271191716456504,-0.17095523973669538,-51.235261307808265,3.598113577756899,0.8926037174227632,-2.7055098603341357,-75.19245298589986,19.219311329330907,2.473019401403363,-16.746291927927544,-87.13263259527282,3.540000000000001,1.7899999999999991,-1.7500000000000018,-49.43502824858761,1.7514692698475942,1.4642375168690958,-0.28723175297849846,-16.39947431127308,2.226129943502819,1.5810055865921795,-0.6451243569106393,-28.97963610765395
2012MAHV01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.16105363547778492,2.2782069058775504e-08,True,True,5,11.255821325648414,8.224273381294966,-3.0315479443534485,-26.933156245520006,4.286089396112002,1.326607995007276,-2.9594814011047266,-69.04852250140493,18.37056231146375,1.7598887724172247,-16.610673539046527,-90.42006040653963,0.3807886845489788,0.16130397586545123,-0.21948470868352757,-57.6395039005673,3.487359329694863,1.2755705112777949,-2.211788818417068,-63.42302611559661,17.244190004415227,3.6019576483990914,-13.642232356016136,-79.11205079811322,2.8674999999999997,1.58,-1.2874999999999996,-44.89973844812554,1.852173913043479,1.4674677608440798,-0.3847061521993991,-20.770519954427645,3.4003487358326074,1.6917721518987348,-1.7085765839338727,-50.24709865576513
2014ZAKR01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.06327160493827161,0.1494002372653175,False,True,5,10.835401234567902,9.019074074074075,-1.8163271604938274,-16.76289711080791,2.3209682250781194,1.5185275368364306,-0.8024406882416888,-34.57353183776052,5.386893501822276,2.305925880130517,-3.0809676216917588,-57.19377263815463,0.21420233315159518,0.1683684516131804,-0.04583388153841478,-21.39747072968493,2.085409737620732,1.7190698180475532,-0.3663399195731787,-17.56680775793922,8.08764161040243,6.881687213499713,-1.205954396902717,-14.9110761207767,2.5624999999999982,1.5500000000000007,-1.0124999999999975,-39.51219512195115,1.5477456647398846,1.4320822759449716,-0.115663388794913,-7.47302295395875,1.7471219512195122,1.682580645161291,-0.06454130605822117,-3.6941500284608386
2012PARK03,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.13446054750402575,2.1578621058534765e-05,True,True,5,9.05328502415459,5.709983922829582,-3.3433011013250082,-36.92914883829376,3.284008147643896,0.7215829573336509,-2.562425190310245,-78.02737006449424,10.784709513791492,0.5206819643143774,-10.264027549477115,-95.17203533717317,0.36274215810968147,0.12637215219619577,-0.2363700059134857,-65.1619892061223,3.161248208671689,1.423069363282064,-1.738178845389625,-54.983940856703015,18.776138692153605,6.3178456562031435,-12.458293035950462,-66.35173099332016,3.000000000000001,0.8500000000000005,-2.1500000000000004,-71.66666666666666,2.0875,1.3403651115618662,-0.7471348884381337,-35.790892859311796,2.303333333333333,1.4158823529411735,-0.8874509803921593,-38.52898612411691
2015KUCA01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.03618421052631579,0.8213665992195773,False,True,5,11.322319078947368,7.78532894736842,-3.536990131578948,-31.239096044869463,3.0461113650469205,1.3465613869095827,-1.6995499781373378,-55.79408545725178,9.278794448268012,1.813227568715859,-7.465566879552154,-80.45837119439241,0.26903599375774845,0.1729613990639078,-0.09607459469384064,-35.71068441509367,1.7415574992295806,1.1894534024566372,-0.5521040967729434,-31.701743813636917,6.079920865640407,2.9539376397740664,-3.1259832258663405,-51.41486698506685,3.4000000000000004,1.602500000000001,-1.7974999999999994,-52.86764705882351,1.866576653983062,1.513187162376868,-0.35338949160619393,-18.93249285273664,1.764705882352941,1.6533541341653655,-0.11135174818757543,-6.309932397295942
2014SEBA01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.1027385944122875,0.0033591472658775043,True,True,5,10.438277027027027,6.819055649241147,-3.6192213777858804,-34.67259365137473,2.992574974660407,1.0076523685698444,-1.9849226060905625,-66.32824984830359,8.955504978963734,1.0153632958844176,-7.940141683079316,-88.66213241721732,0.286692427008017,0.14777007556493255,-0.13892235144308446,-48.456930967067244,5.1120826262041374,1.1344601231090325,-3.977622503095105,-77.80825925438141,40.16644945165451,1.9435479570581604,-38.22290149459635,-95.16126522610003,2.227500000000001,1.04,-1.1875000000000009,-53.31088664421999,1.5853089301068664,1.4212543554006971,-0.16405457470616924,-10.348429355981125,1.9627384960718206,2.2653846153846153,0.3026461193127947,15.419584418326929
2013BURL01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.24027996176733574,5.6637913068793375e-15,True,True,5,11.825026362038663,7.8674561403508765,-3.957570221687787,-33.46774967362941,6.713565784013414,1.5125842429754301,-5.200981541037984,-77.46973379515771,45.07196553627565,2.287911092097555,-42.784054444178096,-94.92387104738941,0.5677421409871579,0.19225836356654558,-0.37548377742061234,-66.13632322021093,8.919574971426405,1.7471369276033057,-7.1724380438230995,-80.41232981167592,123.37285280197484,5.436458645310374,-117.93639415666448,-95.59347253318653,3.0999999999999996,1.6799999999999988,-1.4200000000000008,-45.80645161290326,1.8193916349809882,1.5384976525821596,-0.28089398239882857,-15.438896002276264,3.0864516129032267,1.8223214285714286,-1.264130184331798,-40.95739518633542
2010WEYE02,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.1175292495715031,0.000651899890239467,True,True,5,10.083809523809524,6.957447183098592,-3.1263623407109327,-31.00378218498753,2.9430010318033113,0.8484562165192001,-2.0945448152841113,-71.17037312082381,8.661255073195354,0.7198779513500758,-7.941377121845279,-91.68852614007483,0.29185408796689427,0.12194935788809379,-0.16990473007880047,-58.21564167984968,2.604803885583529,0.9337732338312968,-1.6710306517522322,-64.15187957145906,10.140925731365552,2.5258520498035573,-7.615073681561995,-75.09249040261503,2.4700000000000006,1.0249999999999995,-1.4450000000000012,-58.50202429149801,1.7381389252948887,1.3282861896838605,-0.4098527356110282,-23.57997566514964,2.719433198380566,1.4712195121951228,-1.2482136861854434,-45.89977378112321
2010HULL01,quintile,5,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.0801724505911982,0.022190523620676045,True,True,5,10.850248538011696,9.018233576642336,-1.8320149613693602,-16.88454374986212,2.529472614940576,1.3604520461683287,-1.1690205687722472,-46.215980432731854,6.398231709734315,1.8508297699235925,-4.547401939810722,-71.07279239187716,0.2331257764353572,0.15085571188707794,-0.08227006454827926,-35.28999058201172,2.972821760252224,1.6575913496059986,-1.3152304106462254,-44.24181860585671,12.840076848852714,5.506533963623969,-7.333542885228745,-57.114478141803424,2.1274999999999995,1.450000000000001,-0.6774999999999984,-31.844888366627433,1.5002846407833315,1.3974325386429136,-0.10285210214041784,-6.855505904980571,1.9102232667450063,1.768275862068963,-0.1419474046760434,-7.430932663589622
