solver_id,split_method,phase,n_solves,preferred_dist,ll_preferred_dist,aic_gaussian,aicc_gaussian,ll_gaussian,fit_ok_gaussian,delta_aic_gaussian,ks_stat_gaussian,ks_p_gaussian,ks_reject_gaussian,aic_lognormal,aicc_lognormal,ll_lognormal,fit_ok_lognormal,delta_aic_lognormal,ks_stat_lognormal,ks_p_lognormal,ks_reject_lognormal,aic_exgaussian,aicc_exgaussian,ll_exgaussian,fit_ok_exgaussian,delta_aic_exgaussian,ks_stat_exgaussian,ks_p_exgaussian,ks_reject_exgaussian,params_gaussian,params_lognormal,params_exgaussian,exg_mu,exg_sigma,exg_tau,exg_tau_frac,ln_s,ln_mu_log,ln_dist_mean,ln_dist_var,ln_dist_skew,feat_n,feat_mean,feat_median,feat_std,feat_var,feat_cv,feat_skewness,feat_excess_kurtosis,feat_iqr,feat_p5,feat_p10,feat_p25,feat_p75,feat_p90,feat_p95,feat_p90_p10_ratio,feat_range,feat_min,feat_max,feat_tail_weight_upper,feat_tail_weight_lower
2017GARR05,quintile,P1,786,exgaussian,exgaussian,3411.8238283269757,3411.8391539974737,-1703.9119141634878,True,284.75547868054446,0.10666534896651592,0.0,True,3178.860530431404,3178.875856101902,-1587.430265215702,True,51.79218078497297,0.058300515337522674,0.0,True,3127.068349646431,3127.0990401835156,-1560.5341748232156,True,0.0,0.022331036954473915,0.356,False,"[8.806284987277353, 2.114647917976201]","[0.21206460477752037, 0.0, 8.598236797511237]","[2.3106247034146348, 6.928646812588406, 0.8126064307126064]",6.928646812588406,0.8126064307126064,1.877628492958141,0.6979422043916416,0.21206460477752037,2.151557158694057,8.793764202913328,3.5570340165994585,0.653279151272737,786,8.806284987277353,8.39,2.1159943987990264,4.477432295748853,0.24028229859197758,2.742751913146177,21.72754122339982,2.3225,6.362500000000001,6.76,7.3925,9.715,11.515,12.3475,1.7034023668639056,27.750000000000004,4.95,32.7,1.703982777179763,0.8729817007534985
2017GARR05,quintile,P2,787,exgaussian,exgaussian,2714.8178772154233,2714.8331833378725,-1355.4089386077117,True,264.00381786772596,0.11280981402809431,0.0,True,2532.3370606382678,2532.352366760717,-1264.1685303191339,True,81.52300129057039,0.07297674823305289,0.0,True,2450.8140593476974,2450.8447106886933,-1222.4070296738487,True,0.0,0.015043004166464619,0.898,False,"[6.828996188055909, 1.3543331123275548]","[0.17965056414523248, 0.0, 6.713472613745744]","[2.2868803994679006, 5.615256818518493, 0.5307406012898226]",5.615256818518493,0.5307406012898226,1.2137402782915032,0.695760149909353,0.17965056414523248,1.9041163452411174,6.822687854935957,1.526846242871408,0.5492701962558469,787,6.828996188055909,6.55,1.3551943735353194,1.8365517900617867,0.1984470830289215,1.880941767217905,7.2297129667143825,1.4900000000000002,5.219,5.5,5.93,7.42,8.49,9.193999999999997,1.5436363636363637,12.48,4.28,16.76,1.7744966442953,0.8932885906040264
2017GARR05,quintile,P3,786,exgaussian,exgaussian,2778.0395452856887,2778.0548709561867,-1387.0197726428444,True,530.4158506665185,0.1440537766931692,0.0,True,2406.532117866527,2406.547443537025,-1201.2660589332636,True,158.90842324735695,0.09417987731390076,0.0,True,2247.6236946191702,2247.6543851562546,-1120.8118473095851,True,0.0,0.038332450270490925,0.0,True,"[6.331297709923664, 1.4130036206533543]","[0.17942272793548528, 0.0, 6.217702309124515]","[2.2410247084141304, 5.271636652551342, 0.4728470027528733]",5.271636652551342,0.4728470027528733,1.0596618164687532,0.691455607418275,0.17942272793548528,1.8274004348270114,6.318593857340912,1.3061861122590717,0.5485470394312422,786,6.331297709923664,6.08,1.413903336516983,1.999122645013857,0.2233196733587229,4.331185997335877,34.68127755989971,1.1875000000000009,4.94,5.18,5.56,6.7475000000000005,7.63,8.4875,1.472972972972973,18.18,3.44,21.62,2.0273684210526306,0.959999999999999
2017GARR05,quintile,P4,787,exgaussian,exgaussian,2781.770888315582,2781.786194438031,-1388.885444157791,True,363.4334255909871,0.13634886904615806,0.0,True,2521.975805743813,2521.991111866262,-1258.9879028719065,True,103.63834301921815,0.08386317347478078,0.0,True,2418.337462724595,2418.368114065591,-1206.1687313622974,True,0.0,0.041292153146388344,0.0,True,"[6.34856416772554, 1.413184998248684]","[0.19255531931602893, 0.0, 6.222450246366895]","[2.2039781824935325, 5.174567534026851, 0.5326727930022408]",5.174567534026851,0.5326727930022408,1.1739992141848323,0.6878880120145704,0.19255531931602893,1.8281637594649913,6.33888277814954,1.5177933533843633,0.5904035927728546,787,6.34856416772554,6.08,1.4140836851428518,1.999632668587188,0.22274070920345862,2.7219122374597444,15.780132966120721,1.2700000000000005,4.76,5.06,5.51,6.78,7.994,8.677,1.5798418972332016,16.66,3.5,20.16,2.0448818897637784,1.0393700787401574
2017GARR05,quintile,P5,787,exgaussian,exgaussian,2546.653208519614,2546.668514642063,-1271.326604259807,True,261.9402718404631,0.11059554280494321,0.0,True,2365.025396129351,2365.0407022518,-1180.5126980646755,True,80.3124594502001,0.06698507424781286,0.0,True,2284.712936679151,2284.743588020147,-1139.3564683395755,True,0.0,0.027172400492141313,0.086,False,"[6.132172808132148, 1.2170989444294371]","[0.17989909255621123, 0.0, 6.028129621459611]","[2.2093651557026703, 5.051443127430526, 0.4891596229587389]",5.051443127430526,0.4891596229587389,1.0807322265416937,0.6884118972180165,0.17989909255621123,1.7964367837612614,6.126469374347379,1.234596714768405,0.5500591486148844,787,6.132172808132148,5.9,1.2178729342974444,1.4832144840942671,0.19860381832070498,1.8325457726695773,6.595943655725135,1.2250000000000005,4.7,4.896,5.35,6.575,7.627999999999999,8.480999999999998,1.5580065359477122,10.89,4.09,14.98,2.1069387755102014,0.9795918367346936
2013WALL03,quintile,P1,702,exgaussian,exgaussian,3316.6157773360064,3316.6329447179805,-1656.3078886680032,True,193.43012706622994,0.1063141596372118,0.0,True,3166.817710686556,3166.83487806853,-1581.408855343278,True,43.632060416779495,0.06114966677227629,0.0,True,3123.1856502697765,3123.220034223931,-1558.5928251348882,True,0.0,0.026377289922644653,0.152,False,"[10.93431623931624, 2.5611961965013053]","[0.21572178338125503, 0.0, 10.671177073402344]","[2.6865077238364448, 8.446276588195424, 0.9261253165630938]",8.446276588195424,0.9261253165630938,2.488042816187224,0.7287405656214581,0.21572178338125503,2.3675463753869526,10.922384631223473,5.682863999284715,0.6651647317210654,702,10.93431623931624,10.434999999999999,2.5630223615793124,6.569083625955596,0.2344017042751625,1.4236535122470713,3.421589369241559,3.1875000000000018,7.9105,8.3,9.1,12.287500000000001,14.419,15.457499999999998,1.7372289156626506,18.71,6.45,25.16,1.5756862745098028,0.7919999999999991
2013WALL03,quintile,P2,702,exgaussian,exgaussian,3054.7432400629473,3054.7604074449214,-1525.3716200314736,True,524.5424677435767,0.13561426503489438,0.0,True,2633.185761775844,2633.2029291578183,-1314.592880887922,True,102.98498945647361,0.061639702043540745,0.0,True,2530.2007723193706,2530.2351562735253,-1262.1003861596853,True,0.0,0.029766182263093577,0.052,False,"[8.928219373219374, 2.1253904197125464]","[0.1795907687710751, 0.0, 8.765078036423459]","[2.115173133856586, 7.417433689907089, 0.7142602423603179]",7.417433689907089,0.7142602423603179,1.5107840752224382,0.6789905546077949,0.1795907687710751,2.1707754215193558,8.907573265694838,2.6008138260437748,0.5490803944923196,702,8.928219373219374,8.63,2.126905849794362,4.523728493889476,0.23822284835138782,7.388430745783052,108.36472290909697,1.817499999999999,6.94,7.16,7.7925,9.61,10.757,11.618499999999997,1.5023743016759776,38.53,5.52,44.05,1.6442916093535065,0.9298486932599732
2013WALL03,quintile,P3,703,exgaussian,exgaussian,2537.0517171642396,2537.0688600213825,-1266.5258585821198,True,159.42987199901654,0.08124349435782918,0.0,True,2420.5815635948175,2420.5987064519604,-1208.2907817974087,True,42.95971842959443,0.04507123678441671,0.0,True,2377.621845165223,2377.6561799291717,-1185.8109225826115,True,0.0,0.018461536503516895,0.684,False,"[8.560469416785207, 1.4661838026770448]","[0.15976366971951045, 0.0, 8.447619160174721]","[1.7123256689250992, 7.311392193152008, 0.7294640082205308]",7.311392193152008,0.7294640082205308,1.2490799458330044,0.6313127101745484,0.15976366971951045,2.1338846454760083,8.556120378093949,1.8926232730150845,0.4865226044179322,703,8.560469416785207,8.34,1.46722772150113,2.1527571867413977,0.17139570858394956,1.4829623961908711,4.450716967884402,1.7299999999999995,6.7010000000000005,7.05,7.55,9.28,10.22,11.089,1.449645390070922,11.809999999999999,5.34,17.15,1.589017341040463,0.9473988439306357
2013WALL03,quintile,P4,702,exgaussian,exgaussian,2583.635882303325,2583.6530496852993,-1289.8179411516626,True,149.67274054891186,0.094919265390087,0.0,True,2470.7189743351264,2470.7361417171005,-1233.3594871675632,True,36.755832580713104,0.057312464586727674,0.0,True,2433.9631417544133,2433.997525708568,-1213.9815708772067,True,0.0,0.020282154132224228,0.504,False,"[8.364729344729344, 1.5195419812327102]","[0.17015746912332014, 0.0, 8.24011907692353]","[1.769162117430297, 7.044746059058801, 0.7461070657086906]",7.044746059058801,0.7461070657086906,1.3199843561988926,0.6388799363874111,0.17015746912332014,2.109014794899917,8.360277138196716,2.053268476208367,0.5192248740480051,702,8.364729344729344,8.1,1.5206254337634002,2.312301709808129,0.1817901537629013,1.3736236436435332,3.7224392574431704,1.8575000000000008,6.47,6.781000000000001,7.3,9.1575,10.319,10.94,1.5217519539890871,11.659999999999998,5.15,16.81,1.5289367429340504,0.8775235531628529
2013WALL03,quintile,P5,703,exgaussian,exgaussian,2656.3841150410262,2656.401257898169,-1326.1920575205131,True,312.84202814077753,0.10823215432401467,0.0,True,2442.973393117612,2442.990535974755,-1219.486696558806,True,99.43130621736327,0.07196901251478671,0.0,True,2343.5420869002487,2343.5764216641974,-1168.7710434501244,True,0.0,0.018176497981556516,0.792,False,"[8.179032716927454, 1.5960577064578658]","[0.17030164483537844, 0.0, 8.052116438472597]","[2.4052739871496236, 6.802885619693894, 0.5721370110284414]",6.802885619693894,0.5721370110284414,1.3761462697122473,0.7063378736120298,0.17030164483537844,2.0859349684867734,8.169733537603216,1.9641132954552873,0.5196798930836688,703,8.179032716927454,7.82,1.5971940951432786,2.5510289775605566,0.19527909355805617,2.750926335243125,16.167037296819032,1.6549999999999985,6.45,6.6819999999999995,7.19,8.844999999999999,9.9,10.679,1.481592337623466,17.66,5.36,23.02,1.727492447129911,0.8277945619335356
