solver_id,split_method,phase,n_solves,preferred_dist,ll_preferred_dist,aic_gaussian,aicc_gaussian,ll_gaussian,fit_ok_gaussian,delta_aic_gaussian,ks_stat_gaussian,ks_p_gaussian,ks_reject_gaussian,aic_lognormal,aicc_lognormal,ll_lognormal,fit_ok_lognormal,delta_aic_lognormal,ks_stat_lognormal,ks_p_lognormal,ks_reject_lognormal,aic_exgaussian,aicc_exgaussian,ll_exgaussian,fit_ok_exgaussian,delta_aic_exgaussian,ks_stat_exgaussian,ks_p_exgaussian,ks_reject_exgaussian,params_gaussian,params_lognormal,params_exgaussian,exg_mu,exg_sigma,exg_tau,exg_tau_frac,ln_s,ln_mu_log,ln_dist_mean,ln_dist_var,ln_dist_skew,feat_n,feat_mean,feat_median,feat_std,feat_var,feat_cv,feat_skewness,feat_excess_kurtosis,feat_iqr,feat_p5,feat_p10,feat_p25,feat_p75,feat_p90,feat_p95,feat_p90_p10_ratio,feat_range,feat_min,feat_max,feat_tail_weight_upper,feat_tail_weight_lower
2017GARR05,quartile,Q1_early,983,exgaussian,exgaussian,4256.249046088082,4256.261290986041,-2126.124523044041,True,350.49608058376634,0.1051753171259916,0.0,True,3970.6503340680624,3970.6625789660216,-1983.3251670340312,True,64.89736856374702,0.05404754178450433,0.0,True,3905.7529655043154,3905.777480315347,-1949.8764827521577,True,0.0,0.02042566557148051,0.274,False,"[8.531617497456764, 2.1042417385319836]","[0.21878144687674422, 0.0, 8.317554340467355]","[2.3920663376508244, 6.636250761803796, 0.7923580328880524]",6.636250761803796,0.7923580328880524,1.895372977838735,0.7051944447841931,0.21878144687674422,2.118368262158447,8.519016695948563,3.5582396880727805,0.6751336229680357,983,8.531617497456764,8.13,2.105312872090044,4.432342289388029,0.2467659705463387,2.543240894070226,18.99098892582151,2.3000000000000007,6.031000000000001,6.521999999999999,7.1,9.4,11.312000000000003,12.208,1.7344372891751003,27.750000000000004,4.95,32.7,1.7730434782608688,0.9126086956521737
2017GARR05,quartile,Q2_mid_early,983,exgaussian,exgaussian,3237.8176539656997,3237.829898863659,-1616.9088269828499,True,389.17104669843775,0.12486822024972433,0.0,True,2980.8032142564853,2980.8154591544444,-1488.4016071282426,True,132.1566069892233,0.08618523017357105,0.0,True,2848.646607267262,2848.6711220782936,-1421.323303633631,True,0.0,0.025281476868614594,0.046,True,"[6.487619532044761, 1.253491818590221]","[0.17223755426611542, 0.0, 6.385846862956491]","[2.3026470271789155, 5.395759204682601, 0.4741776352406118]",5.395759204682601,0.4741776352406118,1.0918637221415228,0.697212571682482,0.17223755426611542,1.8540841138855029,6.4812733872412815,1.264835795785127,0.5257934295350171,983,6.487619532044761,6.22,1.2541298903131886,1.5728417817769704,0.19331125756043116,2.3661221758454496,13.967821634834134,1.2250000000000005,5.041,5.302,5.71,6.9350000000000005,8.104000000000001,8.899000000000001,1.5284798189362507,15.55,3.95,19.5,2.186938775510204,0.9624489795918358
2017GARR05,quartile,Q3_mid_late,983,exgaussian,exgaussian,3489.649797361948,3489.662042259907,-1742.824898680974,True,493.02077442591553,0.13478380323718675,0.0,True,3132.4118772395104,3132.4241221374696,-1564.2059386197552,True,135.78285430347796,0.08028381212261027,0.0,True,2996.6290229360325,2996.653537747064,-1495.3145114680162,True,0.0,0.037571165414289065,0.0,True,"[6.387100712105799, 1.4247933358481917]","[0.18969392353448558, 0.0, 6.263018229867339]","[2.076563227102632, 5.250895895752402, 0.5471569841600569]",5.250895895752402,0.5471569841600569,1.1362060727591514,0.6749619864169817,0.18969392353448558,1.834662214263507,6.376721581432717,1.4898376990192228,0.5812529835261492,983,6.387100712105799,6.12,1.4255186061093887,2.0321032963640544,0.22318711890788417,3.1845851349026653,21.61366105909035,1.2699999999999996,4.821000000000001,5.122,5.57,6.84,7.91,8.668,1.5443186255368997,18.18,3.44,21.62,2.0062992125984254,1.0228346456692914
2017GARR05,quartile,Q4_late,984,exgaussian,exgaussian,3271.9852744971363,3271.9975069130383,-1633.9926372485681,True,412.05597980769517,0.11668013901561913,0.0,True,2975.592618039801,2975.604850455703,-1485.7963090199005,True,115.66332335035986,0.06815556649500099,0.0,True,2859.929294689441,2859.9537844853594,-1426.9646473447206,True,0.0,0.028903089057892184,0.01,True,"[6.150884146341464, 1.2733141775335775]","[0.18123996381161048, 0.0, 6.043301232129078]","[2.2321686465565005, 5.063831208335646, 0.48699327817022586]",5.063831208335646,0.48699327817022586,1.0870511266153464,0.6906102034417716,0.18123996381161048,1.7989504242471033,6.143375743825952,1.2603014959765293,0.5543178718099491,984,6.150884146341464,5.91,1.273961680335423,1.6229783629630545,0.20711846460206432,2.7652736804052336,18.879972184878486,1.25,4.72,4.923,5.36,6.61,7.627000000000001,8.4085,1.5492585821653464,16.07,4.09,20.16,1.9988,0.9520000000000003
2013WALL03,quartile,Q1_early,878,exgaussian,exgaussian,4134.638387889123,4134.652102174837,-2065.3191939445614,True,273.56304343718057,0.10872823947075516,0.0,True,3931.1212965709,3931.1350108566144,-1963.56064828545,True,70.04595211895776,0.06086256133675538,0.0,True,3861.0753444519423,3861.102804406176,-1927.5376722259712,True,0.0,0.02761728648856243,0.05,False,"[10.538086560364464, 2.543042584590422]","[0.22047797918147036, 0.0, 10.271987941866966]","[2.9723605756742986, 8.04348050073812, 0.8392689568089913]",8.04348050073812,0.8392689568089913,2.494609959606341,0.7482605163982999,0.22047797918147036,2.3294205730632487,10.524710178610219,5.517586284463101,0.6806712483033683,878,10.538086560364464,10.04,2.5444920247677167,6.474439664106515,0.2414567398163139,1.4888018966252974,3.597133856300573,2.9875000000000007,7.5085,7.967,8.75,11.7375,13.953000000000001,15.2415,1.751349315928204,18.91,6.25,25.16,1.7410878661087865,0.8473640167364013
2013WALL03,quartile,Q2_mid_early,878,exgaussian,exgaussian,3684.6714782340287,3684.685192519743,-1840.3357391170143,True,573.9023162700996,0.12003786388107895,0.0,True,3215.610836444728,3215.6245507304425,-1605.805418222364,True,104.84167448079916,0.05716792748110988,0.0,True,3110.769161963929,3110.7966219181626,-1552.3845809819645,True,0.0,0.024546972462715533,0.09,False,"[8.820945330296128, 1.9681929536267486]","[0.17373941814361177, 0.0, 8.672834957133098]","[2.020472782204397, 7.37739121202878, 0.7144652181016523]",7.37739121202878,0.7144652181016523,1.4435575270061167,0.6689260019518595,0.17373941814361177,2.16019572201971,8.80472416814828,2.3757426621221014,0.5305411741881707,878,8.820945330296128,8.524999999999999,1.9693147507845867,3.878200587657759,0.22325438794194122,7.355823890156797,118.25675438187857,1.8249999999999993,6.8585,7.107,7.7225,9.5475,10.663,11.53,1.5003517658646406,38.53,5.52,44.05,1.6465753424657545,0.9131506849315063
2013WALL03,quartile,Q3_mid_late,878,exgaussian,exgaussian,3174.89654862935,3174.9102629150643,-1585.448274314675,True,170.0720105520104,0.08901418279826306,0.0,True,3043.503994171134,3043.517708456848,-1519.751997085567,True,38.679456093794215,0.055156938821982915,0.0,True,3004.8245380773396,3004.851998031573,-1499.4122690386698,True,0.0,0.019964236846830352,0.37,False,"[8.410649202733486, 1.472278513206401]","[0.16472315097864196, 0.0, 8.293527404361887]","[1.6435975446972626, 7.1570335000017895, 0.762731569898907]",7.1570335000017895,0.762731569898907,1.2536237355489321,0.6217275954103229,0.16472315097864196,2.115475379776568,8.406811230143969,1.9439147192696775,0.5021022926813987,878,8.410649202733486,8.145,1.4731176574826863,2.170075632787277,0.17514910228379502,1.3531673456062414,4.021824416047725,1.7699999999999996,6.48,6.82,7.43,9.2,10.303,10.923,1.5107038123167156,11.939999999999998,5.21,17.15,1.5694915254237294,0.9406779661016946
2013WALL03,quartile,Q4_late,878,exgaussian,exgaussian,3329.997096805123,3330.0108110908373,-1662.9985484025615,True,375.99648761956723,0.10482579829196198,0.0,True,3073.2308437871225,3073.2445580728368,-1534.6154218935612,True,119.23023460156674,0.06906490594198622,0.0,True,2954.0006091855557,2954.0280691397893,-1474.0003045927779,True,0.0,0.019862602747955482,0.378,False,"[8.202312072892939, 1.608234932269328]","[0.17211824429693878, 0.0, 8.072704804793247]","[2.3274604483211903, 6.818376582051339, 0.5946130776595686]",6.818376582051339,0.5946130776595686,1.3839384203071823,0.6994705074542563,0.17211824429693878,2.088488594005855,8.193170480538752,2.018397030889906,0.5254164473158884,878,8.202312072892939,7.86,1.6091515666739127,2.5893687645291075,0.19618268024595756,2.579313766621057,13.962697100767343,1.6674999999999986,6.45,6.707,7.192500000000001,8.86,10.03,10.683,1.4954525123005815,17.869999999999997,5.15,23.02,1.6929535232383819,0.8455772113943036
2009LIUE01,quartile,Q1_early,876,exgaussian,exgaussian,5018.860540024109,5018.874285728576,-2507.4302700120543,True,698.2557181185439,0.15296859438570554,0.0,True,4490.449574410982,4490.463320115449,-2243.224787205491,True,169.8447525054171,0.08362891559466379,0.0,True,4320.604821905565,4320.632344841344,-2157.3024109527823,True,0.0,0.045409409743959794,0.0,True,"[12.970924657534246, 4.235175589377886]","[0.2504147212770194, 0.0, 12.509110348738021]","[3.216136319618336, 9.651251001444411, 1.0321931741059125]",9.651251001444411,1.0321931741059125,3.3196739561041575,0.7628160182234041,0.2504147212770194,2.526457206741222,12.907531433488172,10.781868161305935,0.7796397395112344,876,12.970924657534246,12.05,4.237594998652271,17.95721137260274,0.3266995307224174,3.7460587937195315,21.652406939320574,3.459999999999999,8.9925,9.675,10.627500000000001,14.0875,16.740000000000002,19.4225,1.730232558139535,40.78,7.16,47.94,2.1307803468208095,0.8836705202312144
2009LIUE01,quartile,Q2_mid_early,876,exgaussian,exgaussian,3374.835245359756,3374.8489910642234,-1685.417622679878,True,60.76277123349837,0.04889076592254249,0.0,True,3321.1876097975764,3321.201355502044,-1658.5938048987882,True,7.115135671318967,0.021669078722320823,0.438,False,3314.0724741262575,3314.0999970620373,-1654.0362370631287,True,0.0,0.014063481335266498,0.918,False,"[10.046769406392693, 1.6570753095528834]","[0.16208770514781282, 0.0, 9.915023088800208]","[0.9651043841886321, 8.90190092578036, 1.1862679663870905]",8.90190092578036,1.1862679663870905,1.1448724151827139,0.4911211801031689,0.16208770514781282,2.2940510906427956,10.04612816160752,2.686674481189561,0.49381785945687245,876,10.046769406392693,9.925,1.6580219393413487,2.749036751337247,0.16503035675192865,0.7722671361020396,2.208574145941311,2.1049999999999986,7.68,8.09,8.9175,11.022499999999999,12.085,12.875,1.4938195302843018,15.23,4.88,20.11,1.401425178147269,1.0665083135391935
