solver_id,split_method,n_phases,pref_first,pref_last,ll_pref_first,ll_pref_last,family_changed,ll_family_changed,shape_shift,scale_shift,norm_ks_stat,norm_ks_p,norm_ks_reject,shift_detected,exg_fit_ok_count,mean_first,mean_last,mean_delta,mean_rel_change,std_first,std_last,std_delta,std_rel_change,var_first,var_last,var_delta,var_rel_change,cv_first,cv_last,cv_delta,cv_rel_change,skewness_first,skewness_last,skewness_delta,skewness_rel_change,excess_kurtosis_first,excess_kurtosis_last,excess_kurtosis_delta,excess_kurtosis_rel_change,iqr_first,iqr_last,iqr_delta,iqr_rel_change,p90_p10_ratio_first,p90_p10_ratio_last,p90_p10_ratio_delta,p90_p10_ratio_rel_change,tail_weight_upper_first,tail_weight_upper_last,tail_weight_upper_delta,tail_weight_upper_rel_change
2017GARR05,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,False,True,0.04197061426361975,0.3408016124077499,False,False,4,8.531617497456764,6.150884146341464,-2.3807333511153006,-27.904829908572275,2.105312872090044,1.273961680335423,-0.8313511917546208,-39.488249123243094,4.432342289388029,1.6229783629630545,-2.809363926424975,-63.3832800582931,0.2467659705463387,0.20711846460206432,-0.03964750594427438,-16.066844977245033,2.543240894070226,2.7652736804052336,0.22203278633500778,8.730308908318335,18.99098892582151,18.879972184878486,-0.11101674094302538,-0.5845758816281498,2.3000000000000007,1.25,-1.0500000000000007,-45.6521739130435,1.7344372891751003,1.5492585821653464,-0.18517870700975392,-10.676587050191076,1.7730434782608688,1.9988,0.22575652173913108,12.732712113781307
2013WALL03,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.06150341685649203,0.07220210985738743,False,True,4,10.538086560364464,8.202312072892939,-2.335774487471525,-22.165072132324006,2.5444920247677167,1.6091515666739127,-0.9353404580938041,-36.759417950197346,6.474439664106515,2.5893687645291075,-3.8850708995774075,-60.00628782002179,0.2414567398163139,0.19618268024595756,-0.04527405957035635,-18.750381374650463,1.4888018966252974,2.579313766621057,1.0905118699957594,73.2476142371694,3.597133856300573,13.962697100767343,10.36556324446677,288.16173260583366,2.9875000000000007,1.6674999999999986,-1.320000000000002,-44.1841004184101,1.751349315928204,1.4954525123005815,-0.25589680362762257,-14.611408546558222,1.7410878661087865,1.6929535232383819,-0.048134342870404634,-2.7646130794065913
2009LIUE01,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.1141552511415525,2.164479658975342e-05,True,True,4,12.970924657534246,9.081632420091324,-3.8892922374429215,-29.984695309935372,4.237594998652271,1.5147604301441842,-2.7228345685080866,-64.2542425449827,17.95721137260274,2.294499160730594,-15.662712211872146,-87.22240823967076,0.3266995307224174,0.1667938493957402,-0.1599056813266772,-48.94579461840189,3.7460587937195315,0.8810200265686894,-2.865038767150842,-76.48141486605158,21.652406939320574,2.4356489428059476,-19.216757996514627,-88.75114000197904,3.459999999999999,1.8200000000000003,-1.6399999999999988,-47.39884393063581,1.730232558139535,1.477906186267845,-0.25232637187168994,-14.58337901946595,2.1307803468208095,1.5673076923076916,-0.5634726545131179,-26.444427054803494
2012MAHV01,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.15875947245894162,4.715892080768887e-10,True,True,4,10.796313364055298,8.226490218642118,-2.5698231454131797,-23.802783957429575,3.977019019316571,1.382739464834785,-2.594279554481786,-65.2317613237766,15.81668028000574,1.9119684276115878,-13.90471185239415,-87.91169579353162,0.3683682461975824,0.16808376696313912,-0.20028447923444329,-54.37072312878356,3.7712839187965126,1.5618602492149831,-2.2094236695815295,-58.585450397131545,20.519298463471035,5.067906478012784,-15.451391985458251,-75.30175562758738,2.5199999999999996,1.580000000000001,-0.9399999999999986,-37.301587301587254,1.7457142857142856,1.474302496328928,-0.2714117893853576,-15.54732017755731,3.3736111111111082,1.7126582278480993,-1.660952883263009,-49.2336795368204
2014ZAKR01,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.04691358024691358,0.3349216145565966,False,True,4,10.606259259259259,8.99958024691358,-1.6066790123456798,-15.148404098674561,2.2393014885080915,1.5854970237956016,-0.6538044647124899,-29.19680391710361,5.0144711564345545,2.5138008124647104,-2.500670343969844,-49.86907424446926,0.21113018584315507,0.17617455262309045,-0.03495563322006462,-16.556435585214018,2.094778019471315,2.4418145623155607,0.3470365428442457,16.566745479400797,8.344884591086457,14.94704515767215,6.6021605665856935,79.11625972200689,2.4375,1.549999999999999,-0.8875000000000011,-36.41025641025645,1.5438223482163949,1.4498590414820782,-0.09396330673431663,-6.086406693287871,1.776615384615382,1.7519354838709693,-0.02467990074441273,-1.3891527090291218
2012PARK03,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.1359378524326978,9.494354628917606e-07,True,True,4,8.587384020618556,5.751196911196912,-2.836187109421644,-33.027370181790836,3.1078050732998364,0.7464330875686388,-2.3613719857311977,-75.98198503562891,9.6584523736282,0.5571623542172512,-9.10129001941095,-94.23134957171246,0.36190358621879576,0.12978743365844775,-0.232116152560348,-64.13756630198678,3.3212174538064536,1.3448470174147569,-1.9763704363916967,-59.507408469342316,20.65863723608465,4.834752113545739,-15.823885122538911,-76.59694558602912,2.6224999999999996,0.8799999999999999,-1.7424999999999997,-66.44423260247855,1.9894822006472492,1.3451469995972614,-0.6443352010499879,-32.387080459446324,2.6129647283126793,1.5613636363636352,-1.0516010919490442,-40.245514244967055
2015KUCA01,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.046052631578947366,0.39608244565661854,False,True,4,10.872499999999999,7.7834868421052645,-3.089013157894734,-28.411250015127475,2.9704399291786774,1.3292863449666952,-1.6411535842119822,-55.24951264258554,8.823513372859026,1.7670021869149157,-7.05651118594411,-79.9739388127389,0.2732067076733665,0.17078288586239224,-0.10242382181097429,-37.48949748826355,1.7890488537921077,1.2581761073153188,-0.5308727464767888,-29.673462820846908,6.233967354988248,3.1710907062603724,-3.062876648727876,-49.132061082691536,3.4250000000000007,1.5200000000000005,-1.9050000000000002,-55.62043795620437,1.8540609137055837,1.4993680884676144,-0.3546928252379693,-19.1305918061273,1.8210218978102182,1.6792763157894721,-0.14174558202074605,-7.783848299199221
2014SEBA01,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.0931174089068826,0.0032246875669045,True,True,4,10.099959514170042,6.842010796221323,-3.257948717948719,-32.257047301802366,2.8633010383465654,0.986806960991694,-1.8764940773548715,-65.53603872677206,8.19849283619652,0.9737879782616626,-7.224704857934857,-88.12235373357444,0.28349628870585186,0.1442276240687436,-0.13926866463710827,-49.12539253083828,4.9523529268751245,1.065324411564523,-3.8870285153106012,-78.48851995617505,40.590421903589565,1.908297863427106,-38.682124040162456,-95.29864984414377,2.34,1.0399999999999991,-1.3000000000000007,-55.55555555555559,1.6126126126126126,1.4104347826086956,-0.20217783000391698,-12.537284430410494,1.7948717948717947,2.0576923076923093,0.26282051282051455,14.64285714285724
2013BURL01,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.24572725548760252,2.0850550212411521e-19,True,True,4,11.259240506329114,7.861643258426966,-3.397597247902148,-30.176078448562045,6.158091572615913,1.4997316109575276,-4.658359961658385,-75.6461625607095,37.922091816723125,2.249194904905261,-35.672896911817865,-94.06890601980612,0.5469366756269474,0.19076566586126276,-0.3561710097656846,-65.12106897154223,9.485245053418359,1.662510685669317,-7.8227343677490415,-82.47266489894038,142.99761527327465,4.82053593063022,-138.17707934264442,-96.62893963551912,2.960000000000001,1.652499999999999,-1.3075000000000019,-44.17229729729735,1.7759699624530663,1.5330733229329172,-0.24289663952014906,-13.676843902508745,3.030405405405404,1.8934947049924356,-1.1369107004129684,-37.516785654653155
2010WEYE02,quartile,4,exgaussian,exgaussian,exgaussian,exgaussian,False,False,True,True,0.09396491785693001,0.0033045312293405104,True,True,4,9.671805359661494,6.98107042253521,-2.690734937126284,-27.820399988078936,2.797279017172712,0.9402485840612356,-1.8570304331114766,-66.3870290275308,7.824769899914735,0.8840673998291584,-6.940702500085576,-88.70168182403943,0.2892199453102533,0.13468544609234578,-0.15453449921790752,-53.431480685792465,2.734971791245395,2.1266888748171815,-0.6082829164282133,-22.240921035285194,11.478214802581613,14.955642561856624,3.4774277592750114,30.295893735085777,2.42,1.0199999999999996,-1.4000000000000004,-57.8512396694215,1.7257844474761255,1.3413493653974615,-0.38443508207866395,-22.275961673016653,2.512396694214876,1.5936274509803925,-0.9187692432344836,-36.56943369453043
